date,symbol,close,volume
2024-01-02,DEMO_A,100.48,1357404
2024-01-03,DEMO_A,100.8,822569
2024-01-04,DEMO_A,101.7,1122258
2024-01-05,DEMO_A,102.79,1027274
2024-01-08,DEMO_A,102.74,836981
2024-01-09,DEMO_A,102.66,1564923
2024-01-10,DEMO_A,101.83,1126898
2024-01-11,DEMO_A,102.41,869186
2024-01-12,DEMO_A,103.45,1726396
2024-01-16,DEMO_A,103.33,1376017
2024-01-17,DEMO_A,103.52,1623618
2024-01-18,DEMO_A,103.27,1609243
2024-01-19,DEMO_A,102.27,1015269
2024-01-22,DEMO_A,101.91,1330123
2024-01-23,DEMO_A,100.98,909192
2024-01-24,DEMO_A,101.64,1203536
2024-01-25,DEMO_A,101.01,1179633
2024-01-26,DEMO_A,100.76,767757
2024-01-29,DEMO_A,100.08,1615046
2024-01-30,DEMO_A,99.98,981373
2024-01-31,DEMO_A,101.07,1378709
2024-02-01,DEMO_A,101.5,943479
2024-02-02,DEMO_A,100.65,886973
2024-02-05,DEMO_A,101.59,1654269
2024-02-06,DEMO_A,102.24,1557073
2024-02-07,DEMO_A,101.6,1732024
2024-02-08,DEMO_A,102.57,912260
2024-02-09,DEMO_A,102.44,1089619
2024-02-12,DEMO_A,102.63,1769320
2024-02-13,DEMO_A,101.75,1522874
2024-02-14,DEMO_A,101.15,843294
2024-02-15,DEMO_A,100.63,1541050
2024-02-16,DEMO_A,100.64,1437220
2024-02-20,DEMO_A,101.76,1457723
2024-02-21,DEMO_A,102.06,1471086
2024-02-22,DEMO_A,101.99,1596999
2024-02-23,DEMO_A,101.47,1178830
2024-02-26,DEMO_A,102.08,1682828
2024-02-27,DEMO_A,101.21,828066
2024-02-28,DEMO_A,100.42,948734
2024-02-29,DEMO_A,99.62,1028885
2024-03-01,DEMO_A,98.71,1805812
2024-03-04,DEMO_A,97.75,1268574
2024-03-05,DEMO_A,98.32,1651633
2024-03-06,DEMO_A,98.84,974024
2024-03-07,DEMO_A,99.03,1402265
2024-03-08,DEMO_A,99.49,1171937
2024-03-11,DEMO_A,99.2,941716
2024-03-12,DEMO_A,100.01,1535859
2024-03-13,DEMO_A,100.84,1360618
2024-03-14,DEMO_A,101.37,1373850
2024-03-15,DEMO_A,101.76,1355873
2024-03-18,DEMO_A,101.08,1345334
2024-03-19,DEMO_A,102.04,990924
2024-03-20,DEMO_A,102.11,1276732
2024-03-21,DEMO_A,102.33,997693
2024-03-22,DEMO_A,102.93,1393976
2024-03-25,DEMO_A,102.52,1741745
2024-03-26,DEMO_A,102.33,918956
2024-03-27,DEMO_A,102.62,1723184
2024-03-28,DEMO_A,102.52,1718416
2024-04-01,DEMO_A,102.12,1862116
2024-04-02,DEMO_A,102.46,1857199
2024-04-03,DEMO_A,102.59,918673
2024-04-04,DEMO_A,102.66,1697273
2024-04-05,DEMO_A,101.91,1665911
2024-04-08,DEMO_A,102.46,769083
2024-04-09,DEMO_A,101.55,1832336
2024-04-10,DEMO_A,100.87,1736222
2024-04-11,DEMO_A,100.41,1730972
2024-04-12,DEMO_A,99.56,1234014
2024-04-15,DEMO_A,100.3,1153042
2024-04-16,DEMO_A,101.37,785595
2024-04-17,DEMO_A,100.42,1001376
2024-04-18,DEMO_A,99.72,1640799
2024-04-19,DEMO_A,100.04,783548
2024-04-22,DEMO_A,100.6,1746084
2024-04-23,DEMO_A,100.17,924371
2024-04-24,DEMO_A,100.33,1364977
2024-04-25,DEMO_A,99.61,1722217
2024-04-26,DEMO_A,100.73,840469
2024-04-29,DEMO_A,100.35,1180395
2024-04-30,DEMO_A,99.89,1494340
2024-05-01,DEMO_A,98.99,1373238
2024-05-02,DEMO_A,99.1,936645
2024-05-03,DEMO_A,98.66,1575298
2024-05-06,DEMO_A,98.88,1854664
2024-05-07,DEMO_A,99.87,1567096
2024-05-08,DEMO_A,99.68,1006619
2024-05-09,DEMO_A,99.96,1765179
2024-05-10,DEMO_A,99.28,913521
2024-05-13,DEMO_A,100.21,1771986
2024-05-14,DEMO_A,101.3,1025949
2024-05-15,DEMO_A,102.25,782420
2024-05-16,DEMO_A,103.26,1147748
2024-05-17,DEMO_A,102.37,1763852
2024-05-20,DEMO_A,101.8,890854
2024-05-21,DEMO_A,102.66,1333052
2024-05-22,DEMO_A,102.65,1787660
2024-05-23,DEMO_A,103.6,821515
2024-05-24,DEMO_A,104.27,1726311
2024-05-28,DEMO_A,103.33,1570462
2024-05-29,DEMO_A,102.32,1139674
2024-05-30,DEMO_A,103.34,1108254
2024-05-31,DEMO_A,104.43,876100
2024-06-03,DEMO_A,104.98,1008218
2024-06-04,DEMO_A,104.88,995387
2024-06-05,DEMO_A,105.76,1076543
2024-06-06,DEMO_A,105.68,1330832
2024-06-07,DEMO_A,106.14,1702594
2024-06-10,DEMO_A,106.45,1533463
2024-06-11,DEMO_A,107.25,1098466
2024-06-12,DEMO_A,107.72,1837307
2024-06-13,DEMO_A,107.81,1034593
2024-06-14,DEMO_A,108.25,1513465
2024-06-17,DEMO_A,107.65,1798040
2024-06-18,DEMO_A,107.28,1150666
2024-06-20,DEMO_A,106.35,1558034
2024-06-21,DEMO_A,106.82,887475
2024-06-24,DEMO_A,107.29,1486618
2024-06-25,DEMO_A,108.52,1105620
2024-06-26,DEMO_A,108.39,894008
2024-06-27,DEMO_A,108.96,1126370
2024-06-28,DEMO_A,109.09,1029571
2024-07-01,DEMO_A,108.09,1271989
2024-07-02,DEMO_A,108.53,1784542
2024-07-03,DEMO_A,109.3,1328214
2024-07-05,DEMO_A,109.21,985184
2024-07-08,DEMO_A,108.43,902043
2024-07-09,DEMO_A,107.72,1041627
2024-07-10,DEMO_A,107.19,829093
2024-07-11,DEMO_A,106.53,1114186
2024-07-12,DEMO_A,106.77,1439290
2024-07-15,DEMO_A,106.66,946140
2024-07-16,DEMO_A,106.38,1685685
2024-07-17,DEMO_A,106.36,1171031
2024-07-18,DEMO_A,107.36,1002225
2024-07-19,DEMO_A,107.73,1000296
2024-07-22,DEMO_A,107.12,1012854
2024-07-23,DEMO_A,107.3,919798
2024-07-24,DEMO_A,107.94,1381822
2024-07-25,DEMO_A,107.37,1612974
2024-07-26,DEMO_A,107.63,1751861
2024-07-29,DEMO_A,107.68,965883
2024-07-30,DEMO_A,106.75,1045824
2024-07-31,DEMO_A,107.87,783919
2024-08-01,DEMO_A,108.39,998670
2024-08-02,DEMO_A,108.96,1197093
2024-08-05,DEMO_A,109.62,766099
2024-08-06,DEMO_A,110.87,1183085
2024-08-07,DEMO_A,110.93,956587
2024-08-08,DEMO_A,110.43,883752
2024-08-09,DEMO_A,111.39,1165108
2024-08-12,DEMO_A,110.79,935362
2024-08-13,DEMO_A,111.47,752348
2024-08-14,DEMO_A,110.77,1418750
2024-08-15,DEMO_A,111.64,1303566
2024-08-16,DEMO_A,111.67,1693481
2024-08-19,DEMO_A,110.82,1475358
2024-08-20,DEMO_A,111.18,1349832
2024-08-21,DEMO_A,111.84,1093454
2024-08-22,DEMO_A,111.99,1338587
2024-08-23,DEMO_A,112.42,1274888
2024-08-26,DEMO_A,111.53,1443095
2024-08-27,DEMO_A,111.37,1526080
2024-08-28,DEMO_A,111.98,1033431
2024-08-29,DEMO_A,113.3,1282302
2024-08-30,DEMO_A,112.38,985078
2024-09-03,DEMO_A,113.55,998153
2024-09-04,DEMO_A,113.68,1012954
2024-09-05,DEMO_A,114.7,1065290
2024-09-06,DEMO_A,115.41,771065
2024-09-09,DEMO_A,115.71,1841886
2024-09-10,DEMO_A,115.99,1548254
2024-09-11,DEMO_A,116.92,1727323
2024-09-12,DEMO_A,117.4,1689571
2024-09-13,DEMO_A,117.06,1447514
2024-09-16,DEMO_A,116.44,1645152
2024-09-17,DEMO_A,115.34,1023252
2024-09-18,DEMO_A,115.03,1472241
2024-09-19,DEMO_A,115.03,1611049
2024-09-20,DEMO_A,115.14,1196011
2024-09-23,DEMO_A,114.34,1802863
2024-09-24,DEMO_A,113.41,1008620
2024-09-25,DEMO_A,114.14,1691343
2024-09-26,DEMO_A,113.3,1513341
2024-09-27,DEMO_A,112.99,773846
2024-09-30,DEMO_A,112.3,1345982
2024-10-01,DEMO_A,112.45,1180497
2024-10-02,DEMO_A,111.44,1274884
2024-10-03,DEMO_A,112.01,1580109
2024-10-04,DEMO_A,113.34,1207433
2024-10-07,DEMO_A,113.42,1354204
2024-10-08,DEMO_A,112.95,1475962
2024-10-09,DEMO_A,114.02,1317165
2024-10-10,DEMO_A,114.89,1242363
2024-10-11,DEMO_A,115.64,1008474
2024-10-14,DEMO_A,115.25,1049538
2024-10-15,DEMO_A,114.27,768799
2024-10-16,DEMO_A,113.27,944300
2024-10-17,DEMO_A,113.09,966766
2024-10-18,DEMO_A,112.09,916578
2024-10-21,DEMO_A,112.15,1137350
2024-10-22,DEMO_A,111.18,994271
2024-10-23,DEMO_A,111.84,987806
2024-10-24,DEMO_A,110.94,1315212
2024-10-25,DEMO_A,111.84,932192
2024-10-28,DEMO_A,110.94,1200897
2024-10-29,DEMO_A,110.64,1271294
2024-10-30,DEMO_A,111.62,1024145
2024-10-31,DEMO_A,111.55,1255937
2024-11-01,DEMO_A,110.56,1454018
2024-11-04,DEMO_A,111.78,1807747
2024-11-05,DEMO_A,111.85,1137337
2024-11-06,DEMO_A,111.51,1532587
2024-11-07,DEMO_A,111.95,1495317
2024-11-08,DEMO_A,111.17,1099593
2024-11-11,DEMO_A,111.55,824264
2024-11-12,DEMO_A,112.03,1740241
2024-11-13,DEMO_A,110.99,1372925
2024-11-14,DEMO_A,111.43,1384839
2024-11-15,DEMO_A,111.26,1220377
2024-11-18,DEMO_A,110.88,1194740
2024-11-19,DEMO_A,110.24,970582
2024-11-20,DEMO_A,110.98,1198655
2024-11-21,DEMO_A,110.52,1757355
2024-11-22,DEMO_A,110.18,1305194
2024-11-25,DEMO_A,111.45,761069
2024-11-26,DEMO_A,112.63,1245324
2024-11-27,DEMO_A,112.99,853029
2024-11-29,DEMO_A,114.22,834491
2024-12-02,DEMO_A,113.77,1382093
2024-12-03,DEMO_A,113.37,1205689
2024-12-04,DEMO_A,113.33,1610713
2024-12-05,DEMO_A,113.82,1646071
2024-12-06,DEMO_A,115.16,941371
2024-12-09,DEMO_A,115.77,1217863
2024-12-10,DEMO_A,116.57,1355090
2024-12-11,DEMO_A,116.12,1811695
2024-12-12,DEMO_A,115.11,755478
2024-12-13,DEMO_A,114.36,1344753
2024-12-16,DEMO_A,113.84,1220259
2024-12-17,DEMO_A,114.39,1814666
2024-12-18,DEMO_A,114.75,1710900
2024-12-19,DEMO_A,113.85,1149103
2024-12-20,DEMO_A,115.08,1402040
2024-12-23,DEMO_A,115.56,1804054
2024-12-24,DEMO_A,114.93,1423151
2024-12-26,DEMO_A,115.34,818267
2024-12-27,DEMO_A,114.81,901816
2024-12-30,DEMO_A,115.4,1128082
2024-12-31,DEMO_A,116.72,883161
2024-01-02,DEMO_B,42.12,360275
2024-01-03,DEMO_B,41.76,307811
2024-01-04,DEMO_B,41.48,690449
2024-01-05,DEMO_B,40.79,437880
2024-01-08,DEMO_B,40.98,671452
2024-01-09,DEMO_B,40.68,716030
2024-01-10,DEMO_B,40.96,296232
2024-01-11,DEMO_B,41.61,493016
2024-01-12,DEMO_B,41.28,536986
2024-01-16,DEMO_B,41.48,588134
2024-01-17,DEMO_B,41.61,340045
2024-01-18,DEMO_B,42.28,492320
2024-01-19,DEMO_B,41.58,452242
2024-01-22,DEMO_B,41.35,661286
2024-01-23,DEMO_B,41.05,572059
2024-01-24,DEMO_B,41.66,451997
2024-01-25,DEMO_B,42.26,556524
2024-01-26,DEMO_B,42.69,325942
2024-01-29,DEMO_B,42.07,424549
2024-01-30,DEMO_B,42.32,369162
2024-01-31,DEMO_B,42.12,372887
2024-02-01,DEMO_B,42.69,580322
2024-02-02,DEMO_B,43.2,419419
2024-02-05,DEMO_B,42.64,634993
2024-02-06,DEMO_B,41.94,379772
2024-02-07,DEMO_B,41.95,546919
2024-02-08,DEMO_B,42.01,717784
2024-02-09,DEMO_B,41.71,703846
2024-02-12,DEMO_B,40.98,302107
2024-02-13,DEMO_B,40.27,650401
2024-02-14,DEMO_B,39.61,464997
2024-02-15,DEMO_B,40.15,679855
2024-02-16,DEMO_B,40.14,383416
2024-02-20,DEMO_B,40.39,659158
2024-02-21,DEMO_B,40.41,351886
2024-02-22,DEMO_B,40.07,630554
2024-02-23,DEMO_B,39.7,380699
2024-02-26,DEMO_B,40.36,320250
2024-02-27,DEMO_B,39.76,411664
2024-02-28,DEMO_B,40.4,682587
2024-02-29,DEMO_B,40,653867
2024-03-01,DEMO_B,40.68,619506
2024-03-04,DEMO_B,40.76,351089
2024-03-05,DEMO_B,40.43,534366
2024-03-06,DEMO_B,39.9,294622
2024-03-07,DEMO_B,39.35,628820
2024-03-08,DEMO_B,38.63,405742
2024-03-11,DEMO_B,38.6,673247
2024-03-12,DEMO_B,38.79,550228
2024-03-13,DEMO_B,38.64,484012
2024-03-14,DEMO_B,38.39,583121
2024-03-15,DEMO_B,37.85,497488
2024-03-18,DEMO_B,37.45,589537
2024-03-19,DEMO_B,37.75,498513
2024-03-20,DEMO_B,37.68,716869
2024-03-21,DEMO_B,37.69,558303
2024-03-22,DEMO_B,37.86,556324
2024-03-25,DEMO_B,37.79,652095
2024-03-26,DEMO_B,38.08,318869
2024-03-27,DEMO_B,37.86,378621
2024-03-28,DEMO_B,38.4,595385
2024-04-01,DEMO_B,38.24,369141
2024-04-02,DEMO_B,38,312012
2024-04-03,DEMO_B,38.64,670040
2024-04-04,DEMO_B,38.04,405436
2024-04-05,DEMO_B,37.7,322327
2024-04-08,DEMO_B,37.59,302295
2024-04-09,DEMO_B,37.49,298614
2024-04-10,DEMO_B,38.11,483844
2024-04-11,DEMO_B,38.5,625849
2024-04-12,DEMO_B,39.09,690360
2024-04-15,DEMO_B,39.39,558868
2024-04-16,DEMO_B,39.99,605250
2024-04-17,DEMO_B,39.61,316539
2024-04-18,DEMO_B,40.02,711774
2024-04-19,DEMO_B,39.47,621074
2024-04-22,DEMO_B,40.02,503395
2024-04-23,DEMO_B,39.56,400476
2024-04-24,DEMO_B,39.38,391883
2024-04-25,DEMO_B,39.97,345316
2024-04-26,DEMO_B,39.29,358427
2024-04-29,DEMO_B,39.79,393335
2024-04-30,DEMO_B,39.46,514909
2024-05-01,DEMO_B,39.56,658174
2024-05-02,DEMO_B,39.66,582212
2024-05-03,DEMO_B,40.25,567280
2024-05-06,DEMO_B,39.96,520207
2024-05-07,DEMO_B,39.98,368782
2024-05-08,DEMO_B,39.81,398812
2024-05-09,DEMO_B,40.31,691687
2024-05-10,DEMO_B,39.99,704177
2024-05-13,DEMO_B,40.27,518828
2024-05-14,DEMO_B,40.58,617159
2024-05-15,DEMO_B,40.18,533200
2024-05-16,DEMO_B,39.66,494871
2024-05-17,DEMO_B,40.21,326365
2024-05-20,DEMO_B,40.57,524212
2024-05-21,DEMO_B,40.4,349171
2024-05-22,DEMO_B,40.15,573860
2024-05-23,DEMO_B,40.74,463241
2024-05-24,DEMO_B,40.06,612391
2024-05-28,DEMO_B,40,710807
2024-05-29,DEMO_B,39.71,687093
2024-05-30,DEMO_B,39.88,661733
2024-05-31,DEMO_B,40.56,537036
2024-06-03,DEMO_B,40.06,627224
2024-06-04,DEMO_B,40.16,485060
2024-06-05,DEMO_B,39.65,677491
2024-06-06,DEMO_B,40.3,682772
2024-06-07,DEMO_B,40.51,705702
2024-06-10,DEMO_B,40.7,665043
2024-06-11,DEMO_B,41.3,531900
2024-06-12,DEMO_B,40.65,625078
2024-06-13,DEMO_B,41.31,299080
2024-06-14,DEMO_B,41.39,639591
2024-06-17,DEMO_B,40.96,336217
2024-06-18,DEMO_B,41.4,420608
2024-06-20,DEMO_B,41.7,526349
2024-06-21,DEMO_B,41.44,561946
2024-06-24,DEMO_B,41.77,680235
2024-06-25,DEMO_B,42.03,689963
2024-06-26,DEMO_B,41.91,366336
